267	1
219	74
222	75
220	77
222	228
189	229
221	230
163	231
4	232
4	233
4	234
5	235
176	236
5	237
5	238
6	239
177	240
7	241
8	243
232	244
136	245
97	246
151	248
164	249
185	250
208	251
188	252
1	253
220	254
181	255
195	256
118	257
126	258
182	259
189	260
223	261
162	262
186	263
242	264
247	266
1317	267
596	330
548	403
551	404
549	406
551	557
518	558
550	559
492	560
333	561
333	562
333	563
334	564
505	565
334	566
334	567
335	568
506	569
336	570
337	572
561	573
465	574
426	575
480	577
493	578
514	579
537	580
517	581
330	582
549	583
510	584
524	585
447	586
455	587
511	588
518	589
552	590
491	591
515	592
571	593
576	595
1317	596
925	659
877	732
880	733
878	735
880	886
847	887
879	888
821	889
662	890
662	891
662	892
663	893
834	894
663	895
663	896
664	897
835	898
665	899
666	901
890	902
794	903
755	904
809	906
822	907
843	908
866	909
846	910
659	911
878	912
839	913
853	914
776	915
784	916
840	917
847	918
881	919
820	920
844	921
900	922
905	924
1317	925
1254	988
1206	1061
1209	1062
1207	1064
1209	1215
1176	1216
1208	1217
1150	1218
991	1219
991	1220
991	1221
992	1222
1163	1223
992	1224
992	1225
993	1226
1164	1227
994	1228
995	1230
1219	1231
1123	1232
1084	1233
1138	1235
1151	1236
1172	1237
1195	1238
1175	1239
988	1240
1207	1241
1168	1242
1182	1243
1105	1244
1113	1245
1169	1246
1176	1247
1210	1248
1149	1249
1173	1250
1229	1251
1234	1253
1317	1254
261	592
248	1241
262	587
902	1244
565	914
404	910
924	1239
1317	264
1317	577
1317	733
1317	1253
